#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,D1,#
#,.,.,.,Y,#,Y,E,.,E,.,.,TS,TS,.,T,.,JF,JF,JF,.,S,.,.,B2,.,.,BF,.,.,.,.,.,.,Y,.,#,Y,.,.,.,.,.,.,.,.,D1,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,SP,SP,SP,SP,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,\,/,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,SP,SP,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,SP,SP,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,SP,SP,SP,SP,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,#,,,,,,,,,,,,,,
