#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
W1,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,Y,W2,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,X,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,H,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,#,#,#,,#,#,,#,#,#,,#,#,#,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,,#,,,#,,,#,,,,,#,,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,,#,,,#,#,,#,#,#,,,#,,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,,#,,,#,,,,,#,,,#,,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,.,.,.,.,.,.,.,.,.,.,.,.,a1,.,.,.,.,,#,,,#,#,,#,#,#,,,#,,.,.,.,.,a2,.,.,.,.,.,.,D1,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
